"";"TOT_EMP";"H_MEAN";"A_MEAN";"H_PCT10";"H_PCT25";"H_MEDIAN";"H_PCT75";"H_PCT90";"A_PCT10";"A_PCT25";"A_MEDIAN";"A_PCT75";"A_PCT90"
"Community and Social Service Specialists, All Other";93710;21,03;43740;11,35;15,24;19,91;25,91;33,11;23610;31710;41420;53880;68860
"Religious Workers";73470;21,88;45510;9,32;13,73;19,82;27,65;36,37;19390;28560;41220;57510;75650
"Clergy";46510;22,95;47730;10,72;15,18;21,13;28,34;36,74;22300;31580;43950;58950;76420
"Directors, Religious Activities and Education";18850;21,48;44680;9,09;12,56;18,5;27,38;37,92;18900;26120;38480;56950;78880
"Miscellaneous Religious Workers";8110;16,69;34700;8,58;9,47;14,24;21,42;30,23;17850;19690;29620;44550;62880
"Religious Workers, All Other";8110;16,69;34700;8,58;9,47;14,24;21,42;30,23;17850;19690;29620;44550;62880
"Legal Occupations";1052900;48,61;101110;17,23;23,94;36,95;64,15;90;35840;49790;76860;133430;187200
"Lawyers, Judges, and Related Workers";663910;62,21;129410;25,14;35,01;53,76;80,28;90;52290;72820;111820;166990;187200
"Lawyers and Judicial Law Clerks";614970;63,45;131970;25,96;35,67;54,5;82,12;90;53990;74180;113360;170800;187200
"Lawyers";603310;64,17;133470;26,64;36,36;55,27;82,95;90;55400;75630;114970;172540;187200
"Judicial Law Clerks";11660;26,13;54350;14,01;18,56;23,38;31,24;40,17;29140;38590;48640;64990;83550
"Judges, Magistrates, and Other Judicial Workers";48940;46,74;97230;16,63;24,89;44,73;64,95;81,53;34590;51770;93040;135100;169580
"Administrative Law Judges, Adjudicators, and Hearing Officers";14140;44;91530;19,95;29,06;42,3;56,56;75,36;41510;60440;87980;117650;156750
"Arbitrators, Mediators, and Conciliators";6710;34,01;70740;15,96;19,99;27,49;40,81;58,2;33200;41570;57180;84880;121050
"Judges, Magistrate Judges, and Magistrates";28090;51,16;106420;15,14;25,46;55,36;70,93;86,02;31480;52960;115140;147540;178920
"Legal Support Workers";388990;25,4;52830;14,18;17,83;23,14;30,15;39,48;29500;37090;48130;62710;82120
"Paralegals and Legal Assistants";272580;24,92;51840;14,56;18,06;23,24;29,81;37,42;30280;37550;48350;62000;77830
"Miscellaneous Legal Support Workers";116410;26,51;55140;13,4;17,32;22,93;31,83;45,55;27860;36030;47690;66200;94740
"Court Reporters";18330;26,44;55000;12,82;17,25;23,97;34,18;45,26;26670;35880;49860;71090;94140
"Title Examiners, Abstractors, and Searchers";52960;23,17;48190;13,02;16,14;20,71;27,48;36,68;27070;33570;43080;57160;76300
"Legal Support Workers, All Other";45120;30,45;63340;14,78;19,82;25,84;37,33;56,52;30740;41220;53740;77650;117570
"Education, Training, and Library Occupations";8435780;25,1;52210;10,11;14,88;22,43;31,36;42,4;21040;30940;46660;65220;88190
"Postsecondary Teachers";1522210;NA;75780;NA;NA;NA;NA;NA;28950;43140;63010;93030;138720
"Business Teachers, Postsecondary";85030;NA;88740;NA;NA;NA;NA;NA;34460;48590;74090;114050;162890
"Math and Computer Teachers, Postsecondary";89420;NA;76780;NA;NA;NA;NA;NA;34950;48230;67790;95520;132760
"Computer Science Teachers, Postsecondary";35410;NA;80730;NA;NA;NA;NA;NA;35620;50410;72010;101790;138430
"Mathematical Science Teachers, Postsecondary";54010;NA;74200;NA;NA;NA;NA;NA;34580;46980;65190;91770;128440
"Engineering and Architecture Teachers, Postsecondary";43840;NA;99120;NA;NA;NA;NA;NA;45160;65760;90950;123160;163040
"Architecture Teachers, Postsecondary";7190;NA;84470;NA;NA;NA;NA;NA;38190;52340;73720;99390;142050
"Engineering Teachers, Postsecondary";36650;NA;102000;NA;NA;NA;NA;NA;48120;69180;94130;126690;165660
"Life Sciences Teachers, Postsecondary";64490;NA;86760;NA;NA;NA;NA;NA;40060;54960;76660;107330;148240
"Agricultural Sciences Teachers, Postsecondary";9890;NA;90100;NA;NA;NA;NA;NA;44580;63820;86260;112720;143090
"Biological Science Teachers, Postsecondary";52750;NA;86200;NA;NA;NA;NA;NA;39500;53720;74580;105770;150180
"Forestry and Conservation Science Teachers, Postsecondary";1850;NA;84810;NA;NA;NA;NA;NA;40830;60060;84090;106920;132070
"Physical Sciences Teachers, Postsecondary";51820;NA;87070;NA;NA;NA;NA;NA;41820;56010;77180;108050;146330
"Atmospheric, Earth, Marine, and Space Sciences Teachers, Postsecondary";10890;NA;90340;NA;NA;NA;NA;NA;41680;58050;81780;114580;149920
"Chemistry Teachers, Postsecondary";21470;NA;83360;NA;NA;NA;NA;NA;40750;53950;73080;101600;141040
"Environmental Science Teachers, Postsecondary";5300;NA;86200;NA;NA;NA;NA;NA;42120;56190;77470;107820;144110
"Physics Teachers, Postsecondary";14160;NA;90500;NA;NA;NA;NA;NA;43780;58330;80720;111610;150360
"Social Sciences Teachers, Postsecondary";116310;NA;80670;NA;NA;NA;NA;NA;36500;51660;71430;98390;137980
"Anthropology and Archeology Teachers, Postsecondary";6100;NA;81410;NA;NA;NA;NA;NA;40060;54910;74750;99770;132000
"Area, Ethnic, and Cultural Studies Teachers, Postsecondary";9150;NA;78120;NA;NA;NA;NA;NA;36990;51160;68950;94060;130580
"Economics Teachers, Postsecondary";13710;NA;102120;NA;NA;NA;NA;NA;43420;63750;90870;126780;174610
"Geography Teachers, Postsecondary";4440;NA;74690;NA;NA;NA;NA;NA;37130;52250;71320;93270;118430
"Political Science Teachers, Postsecondary";17050;NA;82670;NA;NA;NA;NA;NA;37960;53570;73790;101660;139640
"Psychology Teachers, Postsecondary";37930;NA;76390;NA;NA;NA;NA;NA;35280;50500;68690;93230;126640
"Sociology Teachers, Postsecondary";16900;NA;74860;NA;NA;NA;NA;NA;35090;50340;67880;91800;124290
"Social Sciences Teachers, Postsecondary, All Other";11030;NA;78690;NA;NA;NA;NA;NA;32670;45270;65320;96810;146110
"Health Teachers, Postsecondary";224930;NA;102260;NA;NA;NA;NA;NA;39990;55900;80490;126400;187200
"Health Specialties Teachers, Postsecondary";168090;NA;112950;NA;NA;NA;NA;NA;40070;58850;90210;149180;187200
"Nursing Instructors and Teachers, Postsecondary";56840;NA;70650;NA;NA;NA;NA;NA;39830;51910;66100;85170;107080
"Education and Library Science Teachers, Postsecondary";64510;NA;65690;NA;NA;NA;NA;NA;30770;44250;60250;80240;108530
"Education Teachers, Postsecondary";59980;NA;65180;NA;NA;NA;NA;NA;30060;43550;59720;79820;108190
"Library Science Teachers, Postsecondary";4540;NA;72440;NA;NA;NA;NA;NA;43170;53230;66580;85970;112350
"Law, Criminal Justice, and Social Work Teachers, Postsecondary";41850;NA;87900;NA;NA;NA;NA;NA;33110;49380;68950;108290;171010
"Criminal Justice and Law Enforcement Teachers, Postsecondary";14890;NA;61750;NA;NA;NA;NA;NA;30370;43050;57200;74660;100300
"Law Teachers, Postsecondary";15990;NA;126270;NA;NA;NA;NA;NA;41240;66240;109980;170440;187200
"Social Work Teachers, Postsecondary";10970;NA;67500;NA;NA;NA;NA;NA;31400;46320;62440;83830;110620
"Arts, Communications, and Humanities Teachers, Postsecondary";281020;NA;71530;NA;NA;NA;NA;NA;32760;45590;62480;86480;121040
"Art, Drama, and Music Teachers, Postsecondary";97500;NA;75350;NA;NA;NA;NA;NA;32540;46260;64300;88880;128330
"Communications Teachers, Postsecondary";29470;NA;69230;NA;NA;NA;NA;NA;32570;46270;62550;86270;117720
"English Language and Literature Teachers, Postsecondary";76320;NA;68390;NA;NA;NA;NA;NA;32550;43840;60160;83290;117450
"Foreign Language and Literature Teachers, Postsecondary";30880;NA;67910;NA;NA;NA;NA;NA;32450;44560;59490;80700;116920
"History Teachers, Postsecondary";23640;NA;73720;NA;NA;NA;NA;NA;35530;49610;66840;89790;121100
"Philosophy and Religion Teachers, Postsecondary";23210;NA;71350;NA;NA;NA;NA;NA;33110;46460;63630;87850;119030
"Miscellaneous Postsecondary Teachers";458990;NA;56830;NA;NA;NA;NA;NA;19990;32010;46890;69890;100160
"Graduate Teaching Assistants";126030;NA;32970;NA;NA;NA;NA;NA;18250;21490;31570;42430;49240
"Home Economics Teachers, Postsecondary";3620;NA;68030;NA;NA;NA;NA;NA;32130;45460;63390;86840;114150
"Recreation and Fitness Studies Teachers, Postsecondary";18650;NA;65220;NA;NA;NA;NA;NA;27900;41030;58280;80370;111560
"Vocational Education Teachers, Postsecondary";121200;25,54;53130;13,53;17,56;23,25;30,96;41,42;28150;36520;48360;64400;86160
"Postsecondary Teachers, All Other";189490;NA;74040;NA;NA;NA;NA;NA;24700;42270;62330;91380;134890
"Preschool, Primary, Secondary, and Special Education School Teachers";4045100;NA;55510;NA;NA;NA;NA;NA;32560;41840;53160;67860;84350
"Preschool and Kindergarten Teachers";510650;18,6;38680;9,45;11,68;16,39;23,34;31,22;19660;24300;34100;48540;64930
"Preschool Teachers, Except Special Education";352420;15,4;32040;8,98;10,58;13,52;18,11;24,46;18680;22010;28120;37660;50880
"Kindergarten Teachers, Except Special Education";158240;NA;53480;NA;NA;NA;NA;NA;33460;41070;50600;62960;78170
"Elementary and Middle School Teachers";1997640;NA;57080;NA;NA;NA;NA;NA;36450;43770;54390;68550;84130
"Elementary School Teachers, Except Special Education";1353020;NA;56830;NA;NA;NA;NA;NA;36040;43470;54120;68400;83910
"Middle School Teachers, Except Special and Career/Technical Education";630620;NA;57620;NA;NA;NA;NA;NA;37390;44400;54940;68900;84610
"Career/Technical Education Teachers, Middle School";14000;NA;56970;NA;NA;NA;NA;NA;37940;44340;54090;66840;81930
"Secondary School Teachers";1041940;NA;59180;NA;NA;NA;NA;NA;37570;44990;56210;71320;88490
"Secondary School Teachers, Except Special and Career/Technical Education";960380;NA;59330;NA;NA;NA;NA;NA;37540;45010;56310;71580;88910
"Career/Technical Education Teachers, Secondary School";81560;NA;57370;NA;NA;NA;NA;NA;37940;44870;55200;68360;82450
"Special Education Teachers";494870;NA;58850;NA;NA;NA;NA;NA;36620;44570;55890;70960;88350
"Special Education Teachers, Preschool";24080;NA;57860;NA;NA;NA;NA;NA;33140;41790;54000;70640;90230
"Special Education Teachers, Kindergarten and Elementary School";200820;NA;57140;NA;NA;NA;NA;NA;36190;43830;54570;68460;83960
"Special Education Teachers, Middle School";94820;NA;59590;NA;NA;NA;NA;NA;38260;45690;56760;71540;88420
"Special Education Teachers, Secondary School";135520;NA;61350;NA;NA;NA;NA;NA;39000;46410;57810;73710;92030
"Special Education Teachers, All Other";39620;NA;57820;NA;NA;NA;NA;NA;29300;41710;54520;72500;91050
"Other Teachers and Instructors";1160720;17,9;37240;8,73;10,56;14,62;21,51;31,53;18160;21960;30410;44750;65580
"Adult Basic and Secondary Education and Literacy Teachers and Instructors";65990;25,4;52830;13,6;18,45;23,84;31,58;39,42;28290;38370;49590;65680;81990
"Self-Enrichment Education Teachers";202360;19,72;41020;8,95;11,73;17,32;25,09;34,22;18620;24400;36020;52180;71170
"Miscellaneous Teachers and Instructors";892360;16,94;35230;8,63;10,23;13,75;19,48;29,07;17950;21270;28600;40520;60460
"Teachers and Instructors, All Other, Except Substitute Teachers";269760;NA;47780;NA;NA;NA;NA;NA;19050;25410;41390;62770;84750
"Substitute Teachers";622600;14,32;29790;8,46;9,82;12,6;16,7;21,06;17600;20430;26200;34740;43800
"Librarians, Curators, and Archivists";253930;23,2;48260;11,05;15,31;21,84;29,17;37,14;22980;31840;45430;60680;77250
"Archivists, Curators, and Museum Technicians";26510;24,66;51290;12,52;16,61;22,26;30,22;39,79;26030;34550;46300;62870;82760
"Archivists";5360;25,45;52930;13,64;18,09;23,61;31,17;40,78;28360;37630;49120;64840;84810
"Curators";11200;27,26;56690;13,87;18,22;24,65;33,63;43,2;28860;37900;51280;69950;89850
"Museum Technicians and Conservators";9950;21,31;44320;11,05;14,94;19,2;25,96;34,38;22980;31070;39940;54010;71510
"Librarians";133150;27,94;58110;16,19;21,26;27,01;33,94;41,86;33680;44230;56170;70590;87060
"Library Technicians";94260;16,1;33490;9,18;11,62;15,23;19,77;24,13;19090;24170;31680;41120;50190
"Other Education, Training, and Library Occupations";1453820;NA;31000;NA;NA;NA;NA;NA;17780;20380;26430;35330;50300
"Audio-Visual and Multimedia Collections Specialists";8960;22,3;46390;11,9;15,26;21,19;28,24;35,1;24750;31730;44070;58740;73010
"Farm and Home Management Advisors";8900;23,56;49000;12,29;16,63;22,36;29,07;36,66;25570;34590;46520;60470;76240
"Instructional Coordinators";133780;30,79;64040;17,16;22,61;29,59;37,68;45,95;35700;47020;61550;78370;95590
"Teacher Assistants";1192590;NA;26000;NA;NA;NA;NA;NA;17510;19610;24430;30670;37270
"Miscellaneous Education, Training, and Library Workers";109600;20,35;42330;9,86;12,85;18,22;25,24;34,94;20520;26730;37890;52500;72670
"Education, Training, and Library Workers, All Other";109600;20,35;42330;9,86;12,85;18,22;25,24;34,94;20520;26730;37890;52500;72670
"Arts, Design, Entertainment, Sports, and Media Occupations";1793700;26,82;55790;9,71;14,16;21,72;33,02;47,6;20200;29450;45180;68680;99000
"Art and Design Workers";531920;24,55;51070;10,46;14,04;20,72;30,81;43,58;21750;29200;43100;64090;90650
"Artists and Related Workers";86710;36,15;75200;14,56;21,29;31,66;45,44;63;30280;44290;65860;94510;131030
"Art Directors";33140;47,05;97850;21,66;29,1;41,16;58,57;80,79;45060;60520;85610;121830;168040
"Craft Artists";4760;17,45;36300;8,82;10,86;14,94;21,44;30;18360;22600;31080;44590;62400
"Fine Artists, Including Painters, Sculptors, and Illustrators";12100;24,58;51120;8,78;12,85;21,1;31,5;44,42;18260;26720;43890;65510;92400
"Multimedia Artists and Animators";29000;33,37;69410;17,07;22,32;30,59;41,93;53,86;35510;46430;63630;87200;112030
"Artists and Related Workers, All Other";7700;29,52;61410;12,87;18,53;28;39,99;47,68;26770;38550;58250;83180;99170
"Designers";445200;22,29;46370;10,26;13,39;19,16;28,18;38,23;21340;27850;39850;58620;79520
"Commercial and Industrial Designers";29410;32,23;67030;17,8;23,35;31,07;39,69;48,11;37030;48570;64620;82540;100070
"Fashion Designers";17840;35,43;73690;15,99;21,53;30,78;42,88;62,2;33260;44790;64030;89180;129380
"Floral Designers";45050;12,75;26520;8,62;9,79;11,9;14,63;18,11;17920;20370;24750;30440;37660
"Graphic Designers";197540;24,36;50670;13,03;16,64;22,07;29,68;38,74;27100;34600;45900;61740;80570
"Interior Designers";45010;26,37;54850;13,06;17,31;23,27;32,07;43,13;27170;35990;48400;66700;89700
"Merchandise Displayers and Window Trimmers";93000;14,2;29530;9,04;10,4;12,78;16,62;21,78;18800;21630;26590;34560;45300
"Set and Exhibit Designers";10460;25,55;53150;11,36;16,45;23,95;32,68;42,28;23620;34210;49810;67970;87940
"Designers, All Other";6890;26,61;55360;10,64;16,33;23,71;34,65;46,01;22140;33970;49310;72070;95700
"Entertainers and Performers, Sports and Related Workers";491110;27,83;57880;8,79;11,36;19,09;31,92;55,75;18280;23630;39700;66390;115960
"Actors, Producers, and Directors";156510;41,09;85470;10,82;16,95;28,63;51,49;90;22510;35260;59560;107100;187200
"Actors";59210;37,28;NA;9;11,97;19,82;49,7;90;NA;NA;NA;NA;NA
"Producers and Directors";97300;43,41;90300;15,09;21,62;33,22;52,71;90;31380;44970;69100;109640;187200
"Athletes, Coaches, Umpires, and Related Workers";240780;NA;40600;NA;NA;NA;NA;NA;17610;19780;30670;47900;70610
"Athletes and Sports Competitors";11520;NA;78260;NA;NA;NA;NA;NA;20190;28740;43350;84010;187200
"Coaches and Scouts";211760;NA;39150;NA;NA;NA;NA;NA;17570;19750;30640;47700;68950
"Umpires, Referees, and Other Sports Officials";17510;NA;33400;NA;NA;NA;NA;NA;17500;19030;24090;38180;57340
"Dancers and Choreographers";17270;20,68;43020;8,62;10,23;16,87;26,88;39,41;17920;21280;35090;55910;81970
"Dancers";11240;18,53;NA;8,52;9,46;14,31;23,71;34,44;NA;NA;NA;NA;NA
"Choreographers";6030;24,71;51390;9,06;13,73;21,28;32,89;48,96;18840;28550;44250;68410;101830
"Musicians, Singers, and Related Workers";60770;30,36;NA;9,19;15,02;23,6;37,26;57,65;NA;NA;NA;NA;NA
"Music Directors and Composers";21880;26,55;55230;10,39;16,88;23,16;31,77;44,16;21610;35100;48180;66080;91860
"Musicians and Singers";38900;32,49;NA;8,98;13,21;24,16;41,56;66,11;NA;NA;NA;NA;NA
"Miscellaneous Entertainers and Performers, Sports and Related Workers";15780;21,1;NA;8,66;10,49;16,9;25,29;33,03;NA;NA;NA;NA;NA
"Entertainers and Performers, Sports and Related Workers, All Other";15780;21,1;NA;8,66;10,49;16,9;25,29;33,03;NA;NA;NA;NA;NA
"Media and Communication Workers";556340;29,08;60490;12,34;17,43;25,18;35,91;49,08;25670;36250;52370;74690;102090
"Announcers";37680;20,58;42810;8,41;9,52;13,95;22,39;36,94;17500;19790;29010;46570;76830
"Radio and Television Announcers";30220;21,17;44030;8,47;9,72;14,32;22,41;38,46;17610;20220;29790;46610;80000
"Public Address System and Other Announcers";7450;18,2;37850;8,26;9,09;12,37;22,27;30,68;17180;18910;25730;46320;63820
"News Analysts, Reporters and Correspondents";46590;23,73;49360;10,3;13,18;17,88;28,15;43,49;21420;27410;37200;58540;90460
"Broadcast News Analysts";4310;40,57;84380;13,56;18,58;29,54;49,69;87,73;28210;38650;61450;103360;182470
"Reporters and Correspondents";42280;22,02;45800;10,14;12,94;17,31;26,36;39,39;21090;26910;36000;54820;81940
"Public Relations Specialists";208030;30,79;64050;14,99;19,62;26,77;36,84;50,83;31190;40810;55680;76630;105720
"Writers and Editors";189060;32,21;66990;14,98;20,46;28,71;39,62;53,21;31160;42560;59710;82420;110680
"Editors";97350;30,84;64140;13,93;18,81;26,39;37,14;52,85;28980;39130;54890;77260;109940
"Technical Writers";48210;34,59;71950;19,93;25,52;33,19;42,42;52,14;41450;53080;69030;88230;108460
"Writers and Authors";43500;32,63;67870;13,77;19,67;28,3;40,28;55,2;28640;40920;58850;83790;114820
"Miscellaneous Media and Communication Workers";74990;24,06;50040;10,92;15,3;21,34;29,78;40,26;22720;31820;44390;61940;83750
"Interpreters and Translators";49460;23,71;49320;10,69;15,27;20,96;29,03;38,78;22240;31750;43590;60380;80650
"Media and Communication Workers, All Other";25530;24,73;51440;11,67;15,37;22,05;31,73;42,03;24280;31980;45860;65990;87410
"Media and Communication Equipment Workers";214330;24,3;50550;9,45;13,36;20,09;30,45;43,71;19660;27790;41790;63330;90910
"Broadcast and Sound Engineering Technicians and Radio Operators";101660;22,49;46770;9,9;13,92;19,91;28,5;37,7;20580;28950;41420;59270;78410
"Audio and Video Equipment Technicians";60200;22,13;46040;10,72;14,59;20,09;27,9;36,03;22290;30350;41780;58030;74950
"Broadcast Technicians";26600;20,34;42310;8,95;11,68;17,58;26,92;36,65;18610;24300;36560;55990;76230
"Radio Operators";1100;21,99;45740;8,97;15,97;22,3;27,49;34,41;18650;33220;46380;57180;71560
"Sound Engineering Technicians";13750;28,21;58670;10,97;16,08;23,98;35,96;51,38;22820;33450;49870;74790;106870
"Photographers";52250;18,44;38350;8,71;10,36;14,66;22,32;33,14;18120;21550;30490;46420;68930
"Television, Video, and Motion Picture Camera Operators and Editors";42770;32,28;67130;11,93;16,46;25,23;39,09;59,15;24820;34230;52470;81300;123040
"Camera Operators, Television, Video, and Motion Picture";18310;27,17;56510;11,36;15,8;23,12;32,91;45,75;23620;32860;48080;68440;95160
"Film and Video Editors";24460;36,1;75090;12,27;17,1;27,51;47,03;70,01;25520;35560;57210;97810;145620
"Miscellaneous Media and Communication Equipment Workers";17650;32,8;68220;12,94;21,36;33,13;42,79;52,18;26910;44420;68910;89000;108540
"Media and Communication Equipment Workers, All Other";17650;32,8;68220;12,94;21,36;33,13;42,79;52,18;26910;44420;68910;89000;108540
"Healthcare Practitioners and Technical Occupations";7854380;36,54;76010;15,18;21,12;29,67;42,23;64,23;31570;43920;61710;87840;133600
"Health Diagnosing and Treating Practitioners";4833840;45,62;94880;22,97;28;36,26;52,04;83,15;47780;58240;75430;108240;172960
"Chiropractors";29830;38,35;79760;15,11;21,86;32,08;45,87;69,11;31440;45460;66720;95410;143760
"Dentists";115390;82,18;170940;33,76;52,63;74,34;90;90;70220;109470;154640;187200;187200
"Dentists, General";97990;80,2;166810;33,61;52,09;71,9;90;90;69910;108360;149540;187200;187200
"Oral and Maxillofacial Surgeons";5120;105,58;219600;44,55;74,88;90;90;90;92660;155740;187200;187200;187200
"Orthodontists";6190;96,65;201030;37,96;56,87;90;90;90;78960;118290;187200;187200;187200
"Prosthodontists";630;68,67;142830;33,62;39,79;48,21;90;90;69930;82770;100280;187200;187200
"Dentists, All Other Specialists";5450;81,05;168580;25,5;50,73;81,78;90;90;53050;105510;170110;187200;187200
"Dietitians and Nutritionists";59490;27,62;57440;16,85;21,83;27,38;33,45;38,38;35040;45410;56950;69580;79840
"Optometrists";33340;54,33;113010;25,13;37,5;48,76;63,74;90;52270;78000;101410;132580;187200
"Pharmacists";290780;56,96;118470;42,94;51,21;58,15;66,35;72,38;89320;106520;120950;138010;150550
"Physicians and Surgeons";633480;93,74;194990;29;62,9;90;90;90;60320;130820;187200;187200;187200
"Anesthesiologists";30060;118,42;246320;72,82;90;90;90;90;151450;187200;187200;187200;187200
"Family and General Practitioners";124810;89,58;186320;34,71;63,27;86,63;90;90;72190;131600;180180;187200;187200
"Internists, General";48390;91,6;190530;29,27;60,21;90;90;90;60880;125230;187200;187200;187200
"Obstetricians and Gynecologists";21740;103,25;214750;48,12;75,35;90;90;90;100100;156730;187200;187200;187200
"Pediatricians, General";31010;84,33;175400;44,77;62,52;78,53;90;90;93120;130050;163350;187200;187200
"Psychiatrists";25080;87,84;182700;29,61;56,03;87,44;90;90;61600;116540;181880;187200;187200
"Surgeons";41070;115,6;240440;62,84;90;90;90;90;130710;187200;187200;187200;187200
"Physicians and Surgeons, All Other";311320;91,23;189760;27,21;53,67;90;90;90;56590;111630;187200;187200;187200
"Physician Assistants";91670;46,77;97280;30,82;39,47;46,07;55,18;64,77;64100;82090;95820;114760;134720
"Podiatrists";8910;66,1;137480;24,25;38,81;58,03;85,15;90;50430;80730;120700;177120;187200
"Therapists";609870;35,76;74390;21,33;27,15;34,76;43,3;52,22;44370;56460;72300;90050;108610
"Occupational Therapists";110520;38,46;80000;25,32;31,26;37,89;45,28;54,3;52670;65020;78810;94190;112950
"Physical Therapists";200670;40,35;83940;27,31;33,02;39,61;46,18;55,81;56800;68690;82390;96060;116090
"Radiation Therapists";16380;40,25;83710;25,77;31,22;38,51;46,72;56,82;53590;64930;80090;97190;118180
"Recreational Therapists";17950;22,14;46060;13,05;16,51;21,15;27,34;33,28;27150;34330;44000;56860;69230
"Respiratory Therapists";119410;28,12;58490;19,89;23,04;27,27;32,67;37,61;41380;47920;56730;67950;78230
"Speech-Language Pathologists";126500;36,01;74900;21,61;26,97;34,4;43,44;53,37;44940;56090;71550;90360;111000
"Exercise Physiologists";6660;23,58;49040;14,76;17,89;22,25;28,16;35,1;30700;37220;46270;58580;73010
"Therapists, All Other";11770;28,46;59190;15,67;20,17;26,87;35,05;44,06;32590;41940;55900;72910;91640
"Veterinarians";62470;47,23;98230;25,25;33,11;42,11;55,44;75,67;52530;68860;87590;115310;157390
"Registered Nurses";2687310;33,55;69790;22,06;26,26;32,04;38,98;47,54;45880;54620;66640;81080;98880
"Nurse Anesthetists";36590;76,4;158900;51,56;63,64;73,93;87,43;90;107240;132380;153780;181860;187200
"Nurse Midwives";5110;46,97;97700;31,7;39,7;46,62;54,85;62,09;65940;82580;96970;114090;129140
"Nurse Practitioners";122050;47,11;97990;33,09;39,77;45,84;54,55;63,01;68830;82720;95350;113470;131050
"Audiologists";12250;36,92;76790;22,87;28,34;35,13;43,59;53,35;47580;58950;73060;90670;110960
"Miscellaneous Health Diagnosing and Treating Practitioners";35310;40,89;85050;19,83;26,95;35,29;49,85;66,41;41250;56050;73400;103690;138130
"Health Diagnosing and Treating Practitioners, All Other";35310;40,89;85050;19,83;26,95;35,29;49,85;66,41;41250;56050;73400;103690;138130
"Health Technologists and Technicians";2876000;21,66;45060;11,96;15,21;19,92;26,77;34,62;24880;31630;41430;55680;72000
"Clinical Laboratory Technologists and Technicians";322170;24,37;50690;13,7;17,6;23,71;29,95;36,23;28500;36600;49310;62300;75360
"Medical and Clinical Laboratory Technologists";161710;29,12;60560;19,54;24,02;28,57;34,27;39,51;40640;49970;59430;71270;82180
"Medical and Clinical Laboratory Technicians";160460;19,59;40750;12,26;14,84;18,45;23,3;28,73;25500;30860;38370;48470;59750
"Dental Hygienists";196520;34,6;71970;23,65;28,8;34,38;40,98;46,82;49190;59890;71520;85240;97390
"Diagnostic Related Technologists and Technicians";357690;29,23;60800;18,1;22,88;28,64;35,17;42,24;37640;47600;59560;73160;87860
"Cardiovascular Technologists and Technicians";51080;26,54;55210;13,52;18,09;26,12;33,91;40,84;28110;37620;54330;70530;84940
"Diagnostic Medical Sonographers";59760;32,88;68390;22,56;26,85;32,47;38,18;45,12;46930;55850;67530;79410;93850
"Nuclear Medicine Technologists";20320;35,21;73230;25,04;29,68;34,66;41,06;46,43;52080;61730;72100;85410;96570
"Radiologic Technologists";193400;27,65;57510;18,08;21,77;26,86;32,89;38,5;37610;45280;55870;68420;80080
"Magnetic Resonance Imaging Technologists";33130;32,36;67300;22,27;26,78;32,26;37,3;44,33;46310;55700;67090;77590;92220
"Emergency Medical Technicians and Paramedics";235760;16,88;35110;9,95;12,1;15,24;20,09;26,29;20690;25170;31700;41780;54690
"Health Practitioner Support Technologists and Technicians";700820;16,36;34040;10,19;12,32;15,41;19,11;23,83;21190;25630;32040;39750;49580
"Dietetic Technicians";28690;13,75;28600;8,63;9,88;12,39;16,49;21,25;17940;20560;25780;34290;44200
"Pharmacy Technicians";368760;14,95;31090;9,97;11,76;14,33;17,6;21,1;20730;24470;29810;36600;43900
"Psychiatric Technicians";64540;16,91;35160;10,09;11,94;14,97;20,52;27,54;20990;24830;31130;42680;57280
"Respiratory Therapy Technicians";10610;23,46;48800;15,03;18,72;22,98;28,13;33,56;31260;38940;47810;58520;69800
"Surgical Technologists";98450;21,64;45010;14,8;17,11;20,84;25,43;29,89;30780;35580;43350;52890;62170
"Veterinary Technologists and Technicians";93300;15,56;32350;10,28;12,38;14,94;18,07;21,98;21390;25740;31070;37590;45710
"Ophthalmic Medical Technicians";36470;17,56;36520;11,71;13,93;16,94;20,59;24,3;24350;28980;35230;42820;50540
"Licensed Practical and Licensed Vocational Nurses";695610;20,87;43420;15,21;17,2;20,43;23,78;28,22;31640;35780;42490;49450;58710
"Medical Records and Health Information Technicians";184740;18,68;38860;11,22;13,58;17,26;22,42;28,44;23340;28250;35900;46640;59160
"Opticians, Dispensing";73110;17,43;36260;10,34;12,71;16,48;21,38;26,52;21510;26440;34280;44470;55160
"Miscellaneous Health Technologists and Technicians";109580;22,85;47520;12,79;15,69;20,53;27,58;35,81;26610;32630;42700;57360;74480
"Orthotists and Prosthetists";7830;33,99;70690;16,94;22,97;30,79;41,85;53,22;35240;47770;64040;87050;110690
"Hearing Aid Specialists";5570;22,99;47820;10,97;14,69;20,68;30,63;37;22810;30550;43010;63710;76950
"Health Technologists and Technicians, All Other";96170;21,93;45620;12,76;15,49;19,91;26,53;33,68;26550;32220;41420;55190;70050
"Other Healthcare Practitioners and Technical Occupations";144540;29,21;60760;14,92;19,69;27,5;36,93;46,13;31030;40960;57210;76810;95940
"Occupational Health and Safety Specialists and Technicians";79120;32,25;67070;17,77;23,56;31,42;39,62;47,29;36950;49000;65360;82410;98370
"Occupational Health and Safety Specialists";65130;33,88;70470;19,6;25,55;33,27;41,14;48,56;40760;53130;69210;85560;101000
"Occupational Health and Safety Technicians";13990;24,65;51270;14,35;17,73;23,14;29,68;37,02;29840;36880;48120;61740;77010
